3849 4018 3639 3083 2930 3013 2945 3151 5341 5323 4193 4295 5587
4970 4925 3858 3027 2978 2905 2957 3774 3127 2903 3029 2955 3035
3281 5174 5663 4649 2977 3079 3021 3067 2873 4319 2950 2943 3027
3135 3512 3434 3087 3053 2978 2979 2993 5050 5327 4752 4587 5728
4340 3031 2999 2944 2903 3427 4935 5254 4983 2977 3164 5432 4462
2961 3070 3029 3021 4479 5586 5004 3463 3040 2966 4739 5267 4045
2986 2998 2969 3019 3446 4957 5470 4400 3509 3010 4153 5547 4233
5552 5195 3511 2949 3002 3003 3080 4466 4097 3091 3060 3022 3002
3005 2991 3146 3064 4780 5770 5262 3249 3078 2977 3989 4366 3018
5147 4486 2972 2994 2974 2860 3122 4563 3203 3010 2981 2938 2931
